Company,Title,Category,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications
Google,"Global Campaigns Manager, Google Cloud (Apigee)",Marketing & Communications,"Sunnyvale, CA, United States","Create integrated marketing campaigns that drive demand and leads through the acquisition of new customers for Apigee - including campaign execution, tracking and measurement through Marketo and Salesforce systems.
Demonstrate accountability for achieving individual and shared goals, working closely with sales teams to set expectations for lead volume and quality, conversion rates, and lead follow-up and nurturing.
Test and refine new marketing approaches and channels to reach and engage key audiences.
Collaborate on global campaigns across three key regions (AMER, EMEA, APAC), and work collaboratively with the global team to synthesize learnings and performance insights.","5 years of experience in the Marketing industry.
Experience in product integration and end-to-end campaign attribution with Marketo and Salesforce.com.
End-to-end marketing campaign planning and execution experience","Experience designing, building, and launching successful B2B enterprise software lead and demand generation campaigns.
Expertise with ABM tactics as well as email, search, display and social marketing techniques.
Strong knowledge of measurement approaches including multi-touch attribution.
Problem-solver with the ability to run analyses, track metrics, and find creative ways to optimize performance. Expertise with marketing optimization programs and website analytics.
Proven project management skills, e.g. managing cross-functional teams, external creative and media agencies, and marketing vendors. Ability to create effective relationships to influence and collaborate, across all levels."
Google,"MBA Intern, Summer 2018",Business Strategy,"Boulder, CO, United States",Google interns are given a lot of responsibility and the opportunity to give a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Must be pursuing a full-time MBA program with an expected graduation date between December 2018 and June 2019.
Have authorization to work in the United States.
Be able to complete a 11-12 week program beginning in May or June 2018.","Interest in the technology industry and Google’s business.
Demonstrated critical thinking skills and independent motivation.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Analytical skills, and ability to solve highly strategic and difficult business problems."
Google,"SMB Sales Manager, North America, Google Cloud",Sales & Account Management,"Sunnyvale, CA, United States","Lead a team of Sales Representative to achieve maximum business growth, focusing on motivating, enabling and developing the team to be successful.
Develop and implement best practices for your programs and markets, ensuring the team is fully enabled through development and training.
Manage the business operation to operate at scale and provide management support and coaching.
Identify growth projects and programs that can scale and/or 10X the business. Plan and execute programs and work with cross-functional stakeholders in the wider Cloud organization, including Sales, Marketing, Sales Engineering, Product, and Partnerships.
Manage tight, productive relationships with Sales Development, Marketing and partner to drive strategy and execution.","Bachelor's degree or equivalent practical experience.
2 years of people management experience with a focus on coaching and mentoring and developing team members.
Experience with SaaS and Cloud (IaaS and PaaS) market dynamics globally.
Experience in the technology market.","MBA.
Experience managing senior stakeholders in a matrixed organization.
Demonstrated organizational and project management capabilities and able to manage multiple tasks with shifting priorities and varying deadlines.
Demonstrated executive leadership capabilities and excellent interpersonal skills.
Proven track record of success in a scaled environment in inside-sales, IT sales, marketing or operations and a passion for Google Cloud.
Ability to effectively operate with enthusiasm and flexibility in a fast-paced, constantly evolving team environment."
Google,"Account Manager, Online Partnerships Group (Thai)",Partnerships,Singapore,"Maximize client business growth by account management and promoting improvement ideas both as a dedicated consultant and through scalable ways. Communicate effectively with Thai speaking clients.
Increase Google AdSense, AdMob and other Google products for partners.
Establish monetization partnerships with new high potential publishers/developers.
Analyze data, trends, and account performance and develop account plans for publishers and country business plans for the market.
Work cross-functionally within Online Partnerships Group (OPG) and also through the wider Google and Global OPG organization. Collaborate with global product development teams to meet local customer expectations, and develop scalable initiatives for the larger pool of publishers to drive business growth and customer satisfaction.","BA/BS degree or equivalent practical experience.
2 years of experience in technology, digital media, consulting and/or media
Ability to speak and write in English and Thai fluently and idiomatically.","Experience running scalable businesses.
Strong execution orientation, have a proven track record of consistently delivering business results despite challenges
Fast learner, and be able to pick up new products and eco-system dynamics and perform quickly
Partner-centric, business problem solver, and can develop strong trusted relationships to clients"
Google,People Consultant,People Operations,"Atlanta, GA, United States","Provide HR support and consultation to the business, answering employee and manager questions about HR programs, policies, and other HR-related items.
Advise on performance management issues and lead minor investigations and reorganizations.
Assist People Partners with planning and roll-out of HR programs and initiatives.
Triage Googler enquiries and connect Googlers to the right subject matter expert when necessary.
Identify opportunities to improve HR policies by connecting the dots across the information and experiences provided by Googlers/Managers. Identify and propose solutions to correct inconsistent HR policies and knowledge gaps.","BA/BS degree or equivalent practical experience.
5 years of HR Business Partner or Generalist experience.
Ability to travel up to 40% of the time as required.","Experience in HR, people programs, or other large-scale people related roles.
Demonstrated experience with cross-functional collaboration and influencing.
Experience with coaching and mentoring others.
Demonstrated client-service orientation, with a strong focus on delivering exceptional customer service.
Effective interpersonal, teamwork and organizational skills."
Google,"APAC Accounting Lead, Non-Ads Products",Finance,Singapore,"Own and be accountable for accuracy, timeliness, effectiveness and efficiency of all processes related to controllership for non-Ads products (e.g. business growth, including review of contracts, accounting policies and memos, month-end close, deferred business growth, gross-to-net contra-business growth accruals, accounts receivable, balance sheet reconciliations, etc.)
Ensure cross-finance readiness for the non-Ads product initiatives in APAC, providing jurisdictional expertise, and partner with key stakeholders for successful implementation/launch.
Review and provide feedback on agreements to ensure we are mitigating risk for Google, work through accounting implications and confirm we can operationally support agreements.
Provide statutory, regulatory and tax compliance of responsible Google entities, as well as provide product area support to country controllership teams.
Collaborate with global business finance/controllership teams to ensure consistency and efficiency. Collaborate with technical, accounting, legal, tax, treasury, and compliance teams to ensure we are appropriately accounting for any new initiatives, and partner with them on accounting memos and policies.","Bachelor's degree in a Business/Commerce discipline or equivalent practical experience.
CPA/CA or other professional accounting accreditation.
8 years of relevant work experience.
Experience with US GAAP and IFRS.","Superior analytical skills, combined with impeccable business judgment and ability to communicate effectively with management.
Proven ability to work in a cross-functional, fast-paced environment and to lead and drive complex operational initiatives.
Collaborative working style and ability to work with vendors and international teams."
Google,Leadership Staffing Researcher (EMEA),People Operations,"London, United Kingdom","Work across the full suite of Google product groups in EMEA, including Search, YouTube, Android, Maps, Cloud, Play and including various functions eg Technology, Sales, Marketing, Finance, Legal and HR.
Partner with senior leaders on leadership hires, advising on search strategy and candidate profile.
Source candidates, both internally and externally.
Build proactive relationships with passive candidates to engage them over the longer term.
Innovate to improve the efficiency and effectiveness of our systems and processes.","BA/BS degree or equivalent practical experience.
Experience in research at an executive search firm or management consulting experience in a HR related field or recruiting experience within a corporate environment.
Experience creating and managing search strategies, mapping markets and gleaning industry insights.","Collaborative team player, with experience of maximizing team as well as individual performance.
Deep interest in technology.
High level of personal accountability, integrity and authenticity.
Passion for advancing the human capital agenda of the organization.
Ability to thoughtfully set business goals with regards to talent mapping and prioritize effectively based on market insights."
Google,"MBA Intern, Summer 2018",Administrative,"London, United Kingdom","Responsibilities and detailed projects will be determined based on your educational background, interests, and skills.","Must be enrolled in and pursuing a full-time MBA program with an expected graduation date between September 2018 and December 2019 so please include your graduation date on your resume.
Must return to an MBA program upon completion of the internship.
Be able to complete a 10-12 week program beginning in May-July 2018.","Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Operations, or related fields.
Interest in the Internet and Google's technology and business.
Ability to develop and implement ideas in a changing environment. Ability to resolve business issues.
Demonstrated critical thinking skills and independent motivation.
Excellent project management, interpersonal analytical and organizational skills"
Google,"Internal Communications Manager, Ads and Commerce",Marketing & Communications,"San Francisco, CA, United States","Develop, write, and edit communications for senior executives, including emails, Google+ posts, and presentations.
Develop creative strategies for communicating to employees: plan the frequency of and vehicles for communications, and coordinate across different areas of the business and the company.
Interact with, and influence executives, and provide advice that reflects an understanding of their business and leadership style.
Manage the end-to-end process for large company-wide events.
Provide strong communications and program management support for large internal reorganizations.","BA/BS degree or equivalent practical experience.
5 years of experience in media, government or non-profit environment, with a focus on writing and/or editorial responsibilities.","Graphic design abilities with excellent creative and visual skills, including slide design, with experience using Google Slides or other presentation software.
Demonstrated ability to work calmly and maintain good judgment in fast-paced, high-stress environments.
Effective team player who can lead efforts across disciplines.
Proven communicator - excellent written and verbal communications skills."
Google,"Security Product Specialist, Google Cloud Platform",Technical Solutions,"München, Germany","Work as part of a Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading technical projects, including activities such as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA as required for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
Experience working across all aspects of cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.
Experience working across advanced security matters (Authentication Protocols, Identity and Access Management Systems, Key Management Systems, encryptions, securing mobile OS systems, securing complex cloud architectures, Incident Management, Network and End-Points Security, etc).","Master's degree in Computer Science or a related technical technical field.
Experience serving as a Customer Service Operative or Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team).
Experience writing code in a common web or mobile development language (Java, Javascript, Python, GO and PHP) and experience developing for Android or iOS platforms.
Experience installing, optimizing and maintaining large cross-country networks, leveraging both traditional and innovative protocol frameworks. Experience in managing large and complex network implementations.
Knowledge of Main Traditional Security Protocols (OAuth, OpenID, HTTPS-TLS-SSL, PKI), and knowledge of Identity and Access Management solutions and Encryption solutions.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud/IT Technology space."
Google,"User Experience Design Intern, Mid-Year 2018",User Experience & Design,Singapore,"Help to define the user model and user interface for new and existing Google products and features.
Develop high-level and/or detailed storyboards, mockups and prototypes to effectively communicate interaction and design ideas.
Gauge the usability of new and existing products and make constructive suggestions for change.","Currently enrolled in a BA/BS or MS degree program in Human-Computer Interaction, Computer Science, Fine Arts Design, Graphic Design, or a related field (full-time program) at a university in the same country/region of the session to which you are applying, typically within 12-18 months of completing a Bachelor's or Master's degree.
Experience in two or more of the following: HTML, JavaScript, CSS.
This internship will run from between May 2018 to September 2018, for a consecutive 14 weeks. Candidates must be able to intern within this timeframe.","Demonstrated technical background.
A design portfolio that demonstrates a solid knowledge of web design principles.
Strong, clean visual design sense.
Solid analytical thinker with effective communication skills."
Google,"Creative Lead, Marketing (India)",Marketing & Communications,"Gurugram, India","Lead a team of managers and creative agencies (brand, digital, social and experiential) in developing integrated communications solutions that solve marketing issues for products and initiatives.
Write briefs that inspire our agencies, and then collaborate with them to conceptualize and implement clutter-breaking cross-media ideas that drive earned media, business goals and brand awareness.
Manage agency relationships, timelines and deliverables.
Work collaboratively with local, regional and global cross-functional teams (Marketing, PR, Product, Sales, Policy, Legal), to drive alignment and build holistic brand and campaign narratives.
Package and present work compellingly to cross-functional stakeholders, guiding campaigns through Google creative review and approval processes.","8 years of experience in advertising or digital marketing agencies in the function of a Creative Director (Copy).
3 years of experience leading and managing creative teams.
Experience in leading the creative development of integrated marketing campaigns.","Post-graduate degree or MBA.
Experience with best practices (copy, art, interactive, social) and campaigns internationally.
Ability to craft communication strategy and narrative, and present it clearly to stakeholders.
Demonstrated leadership skills (business vision, creative thinking, accountability for results, team leadership, cross-functional, collaboration)."
Google,"Partner Marketing Manager, Google Cloud Marketing (Japan)",Marketing & Communications,"Tokyo, Japan","Develop and manage the partner marketing strategy and programs for Google Cloud in the Japan region. Develop an understanding of partner needs, and how to best position Google’s Cloud products in the market.
Segment and profile key markets, and identify partners to recruit to help grow Google Cloud presence.
Build co-marketing plans with top named partner accounts and drive localized co-marketing content and execution.
Support our growing channel partners through marketing website portal with sales and technical content including: sales collateral, sales tools, and information and insights.","BA/BS degree or equivalent practical experience.
10 years of experience in Partner/Field Marketing in a multi-channel environment with enterprise software, developer, infrastructure or platform-as-a-service technologies.","Experience working with and selling via online and reseller partners.
Experience working in the business technology market, and experience planning and executing multiple co-marketing programs including budget management.
Knowledge of platforms such as Python, PHP, .NET, Java and Cloud technologies like Amazon Web Services and Azure.
Familiarity with marketing and web analytics, CRM systems (Salesforce.com or similar), with an understanding of the enterprise software purchase, development and implementation cycles.
Effective project management skills and experience, including managing external creative agencies, events vendors and international projects.
Strong technical acumen, with the ability to interact with highly technical people and technologies."
Google,"Network Operations Engineer, Corporate",Network Engineering,"Sydney, Australia","Handle escalated trouble calls and work closely with engineering, field technicians, and telecommunications carriers to resolve service issues. Validate problem descriptions and perform detailed problem diagnosis. Track and update problems in a ticketing system.
Perform scheduled configuration changes to network switches and routers, firewalls and wireless devices.
Identify network issues and determine and recommend appropriate solutions.
Participate in rotating “on call” schedule with other members of the team, including during weekends.
Provide quality documentation and deliver presentations about network issues, updates, troubleshooting techniques, etc.","BA/BS degree in a technical field or equivalent practical experience.
4 years of experience in implementing and/or supporting large/wide area networks. Experience with network change-management control policies.
Experience with TCP/IP fundamentals and commonly-used routing protocols (e.g. OSPF, BGP, MPLS, etc).","Experience in working with/for network platform providers.
Experience with Software Defined Network (SDN) technologies.
Experience in Python and/or Go.
Good LAN and WAN troubleshooting skills, with a solid understanding of network security."
Google,MBA Intern (Korean-English Bilingual) 2018,Business Strategy,"Seoul, South Korea",Responsibilities vary by role.,"Must be pursuing a full-time MBA program with an expected graduation date between December 2018 and June 2019.
Be able to complete a minimum 10 week program at the Seoul office in 2018.
Ability to speak and write in English and Korean fluently and idiomatically.","3 years of relevant work experience in the areas of mobile apps and games, mobile business, distribution channels, and competitive landscape.
Demonstrated passion for mobile apps and games, mobile technology, and the broader mobile business.
Excellent analytical skills, with the ability to overcome strategic business challenges.
Excellent critical-thinking skills, with the ability to demonstrate and maintain self-motivation."
Google,"Supply Planning Program Manager, Consumer Hardware",Manufacturing & Supply Chain,"Palo Alto, CA, United States","Develop short and long range supply and demand models that seek to minimize total costs and inventories while maintaining excellent service levels to partners and customers worldwide.
Present supply and demand recommendations to leadership, deliver timely decisions and ensure clear and concise communication to all stakeholders in the supply chain.
Collaborate with Demand Planning, Sales Operations, and Product Management teams to comprehend and influence demand assumptions, scenarios, inputs and adjustments to consensus forecasts.
Work in partnership with NPI and Sustaining Operations, Materials Management, and Global Commodity teams to set optimal build plans and transportation choices to meet strategic goals and budgets.
Manage product success by keeping stakeholders accountable for various business metrics.","5 years of supply chain operations experience in consumer hardware.
3 years of supply/demand planning experience.","Project management experience.
Ability to discern key inputs and retain and use data that drives high impact decisions.
Ability to use data to communicate messages and information effectively to a variety of audiences.
Ability to manage multiple priorities in a fast-paced environment.
Demonstrated leadership, influencing, project management and analytical skills.
Excellent communication and collaboration skills."
Google,"Associate Account Strategist, Global Customer Experience (Spanish)",Product & Customer Support,"Wrocław, Poland","Prioritize and deliver outstanding customer service experience to Google's advertisers, publishers, and/or users.
Manage customer inquiries by phone, e-mail, and/or live chat.
Implement creative ways to improve our customer and business relationships.
Provide strategic and consultative advice and help solve technical issues.","BA/BS degree or equivalent practical experience.
Ability to speak and write in English and Spanish fluently and idiomatically.","Experience in sales, account management, marketing or consulting.
Experience in customer service (troubleshooting and/or resolving customers queries).
Demonstrated ability to multi-task and manage multiple projects with attention to detail.
Ability to lead and/or motivate others."
Google,"Technical Specialist, Shopping, Google Professional Services (French)",Technical Solutions,"Dublin, Ireland","Design and build innovative and scalable operations solutions using Google’s suite of internal platforms and technologies. Ensure the prompt and proper resolution of any technical challenges.
Manage business growth by ensuring high adoption/usage of Google and Shopping products in the market. Be the primary day-to-day technical contact for clients, providing prompt, professional consultative support and service to ensure a high level of customer satisfaction.
Advocate new product features and assist clients in the adoption of new products via upgrades and migrations to help them build long-term success. Provide documentation and technical guidance to ensure the technical success of clients’ integrations. Perform implementation reviews, and analyze/optimize client product mix to ensure their success.
Lead product launches (post-beta) in region including training for cross-functional teams where needed. Partner with Sales and client facing teams to scope and collect client requirements, provide guidance on best practices, and apply technology and product knowledge.
Collaborate with internal/external technical and developer teams to drive communication, prioritization, analysis, and resolution of customer challenges. Participate in the analysis and research for complex technical issues and work with Product Escalation teams.","BA/BS degree in Computer Science or a related technical field, or equivalent practical experience.
Experience working with XML, JavaScript and SQL/MySQL.
Experience working with and managing external partners/customers of all levels. Experience working with internet products and technologies.
Ability to speak and write in English and French fluently and idiomatically.","Master's degree in Computer Science or a related technical field.
Experience with advanced system architecture and design, technical troubleshooting, security and privacy standards and/or enterprise software.
Experience or knowledge of Google AdWords, digital tracking, digital analytics and/or digital optimization solutions (Google Analytics, Go-to-Market or similar analytics solutions).
Knowledge of Java, C++, Python, PHP, Google Doc scripts and App-Engine.
Ability to absorb complex technical concepts and communicate them to a non-technical audience effectively.
Effective communication, consulting, project management and analytical skills, with a creative approach to problem-solving."
Google,"Partner Business Manager (DACH), System Integrator Partnerships (German)",Sales & Account Management,"München, Germany","Define customer-centric and industry-specific use cases. Build ecosystem of service partners for Google’s cloud infrastructure offerings and Google SaaS offerings.
Establish partner performance criteria and drive partners to support Google business through staff training and certification on Google Cloud and G Suite products. Develop Google reference architectures and solutions.
Help partners grow their practice and product portfolio through joint development of solutions and services. Develop and provide custom presentations on Google Cloud Platform technologies to partners to help them achieve strategic goals.
Advocate for Google’s strategy in key industry events.
Develop Google’s approach to partnership strategy with stakeholders in Partner Programs, Product Management, Engineering, Sales and Marketing. Support regional engagement with global and regional partners.","BA/BS degree or equivalent practical experience.
Experience with building scalable partner ecosystems ranging from agile partners, mid-tier integrators and global system integrators.
Experience working with products in Infrastructure as a Service (IaaS) or Platform as a Service (PaaS).
Ability to speak and write English and German fluently and idiomatically.","MBA degree.
Industry knowledge of System Integrators (SIs)/Service Providers (SPs) and Independent Software Vendors (ISVs). Knowledge of Cloud ecosystem.
Understanding of foundational cloud technologies (network, compute, database, middleware, visualization, etc).
Partner/channel pipeline development and people management skills.
Demonstrated interpersonal skills when working in a cross-functional organization.
Excellent written and oral communication skills."
